A_FT_01_sila;A_FT_01_pomik;;A_FT_02_sila;A_FT_02_pomik;;A_FT_03_sila;A_FT_03_pomik
0;0;;0;0;;0,002729;0
0,001621;0;;0,001058;0;;0,002331;0
0,001697;0;;0,000859;0;;0,005811;0
0,003036;0;;0,011792;0;;0,003527;0
0,008406;0;;0,012865;0;;0,007652;0
0,003482;0;;0,020747;0;;0,003987;0
0,013731;0;;0,024979;0;;0,00894;0
0,017066;0;;0,03148;0;;0,005965;0
0,016635;0;;0,033198;0;;0,010764;0
0,018724;0;;0,041664;0;;0,005581;0
0,027582;0;;0,043353;0;;0,011209;0
0,026324;0;;0,047972;0;;0,008602;0
0,034677;0;;0,053543;0;;0,01426;0
0,032389;0;;0,060468;0;;0,010166;0
0,042847;0;;0,064307;0;;0,014168;0
0,043553;0;;0,063834;0;;0,01656;0
0,055179;0;;0,0769;0;;0,012068;0
0,050571;0;;0,076255;0;;0,014536;0
0,061843;0;;0,089569;0;;0,018646;0
0,064393;0;;0,095574;0;;0,019489;0
0,07138;0;;0,10488;0;;0,015242;0
0,07032;0;;0,110608;0;;0,020302;0
0,079918;0;;0,120222;0;;0,021973;0
0,084172;0;;0,125044;0;;0,020348;0
0,089378;0;;0,13845;0;;0,018584;0
0,094584;0;;0,143794;0;;0,023215;0
0,097855;0;;0,155158;0;;0,020348;0
0,102601;0;;0,17027;0;;0,023093;0
0,107776;0;;0,180712;0;;0,023629;0
0,108436;0;;0,191892;0;;0,025147;0
0,115639;0;;0,204654;0;;0,020041;0
0,120799;0;;0,215235;0;;0,028996;0
0,126373;0;;0,225309;0;;0,026359;0
0,132117;0;;0,239867;0;;0,029962;0
0,141346;0;;0,255224;0;;0,028429;0
0,149393;0;;0,27032;0;;0,03286;0
0,153371;0;;0,282544;0;;0,030913;0
0,160235;0;;0,304996;0;;0,035728;0
0,168236;0;;0,325451;0;;0,030652;0
0,164427;0;;0,353324;0;;0,038948;0
0,180737;0;;0,372336;0,035;;0,02872;0
0,176314;0;;0,38929;0,055;;0,035421;0
