A_AF_01_sila;pomik;;A_AF_02_sila;pomik;;A_AF_03_sila;pomik
-0,091097;0;;-0,00043;0;;0,000691;0
-0,09509;0;;-0,000737;0;;-0,002334;0
-0,104028;0;;-0,002334;0;;0,003732;0
-0,103997;0;;-0,003486;0;;-0,000184;0
-0,109833;0;;-0,010473;0;;0,003363;0
-0,110155;0;;-0,0045;0;;-0,000676;0
-0,120075;0;;-0,009552;0;;0,002104;0
-0,117204;0;;-0,005774;0;;0,002703;0
-0,123055;0;;-0,011088;0;;-0,004546;0
-0,122563;0;;-0,006051;0;;-0,000307;0
-0,125466;0;;-0,011118;0;;-0,006511;0
-0,12499;0;;-0,005897;0;;0,001182;0
-0,129489;0;;-0,005452;0;;-0,00496;0
-0,128921;0;;-0,006081;0;;0,002764;0
-0,130472;0;;-0,008078;0;;-0,00582;0
-0,135324;0;;-0,006711;0;;-0,000123;0
-0,132807;0;;-0,008938;0;;-0,004146;0
-0,138671;0;;-0,005943;0;;0,000154;0
-0,135571;0;;-0,008692;0;;-0,005083;0
-0,138273;0;;-0,006081;0;;-0,007279;0
-0,138688;0;;-0,007018;0;;-0,002964;0
-0,145963;0;;-0,005482;0;;0,000614;0
-0,140224;0;;-0,00751;0;;-0,002411;0
-0,146303;0;;-0,012777;0;;-0,00086;0
-0,143464;0;;-0,007725;0;;-0,004991;0
-0,151427;0;;-0,007033;0;;-0,001781;0
-0,146259;0;;-0,007126;0;;-0,004223;0
-0,14979;0;;-0,005728;0;;-0,001428;0
-0,150818;0;;-0,007248;0;;-0,002703;0
-0,15401;0;;-0,012009;0;;-0,002718;0
-0,151155;0;;-0,006281;0;;-0,002027;0
-0,154717;0;;-0,011195;0;;-0,000676;0
-0,159423;0;;-0,004653;0;;-0,00238;0
-0,15421;0;;-0,007878;0;;-0,009444;0
-0,151432;0;;-0,00086;0;;-0,00063;0
-0,149912;0;;-0,00387;0;;-0,008907;0
-0,153334;0;;0,003547;0;;-0,001889;0
-0,149129;0;;0;0;;-0,003839;0
-0,152426;0;;0,006634;0;;-0,009537;0
-0,148132;0;;0,005682;0;;-0,004592;0
-0,147563;0;;0,011502;0;;-0,002365;0
-0,147793;0;;0,009736;0;;-0,005605;0
-0,148346;0;;0,015987;0;;-0,000937;0
-0,152686;0;;0,016463;0;;-0,002426;0
-0,146704;0;;0,021285;0;;0,000215;0
-0,145153;0;;0,020164;0;;-0,000138;0
-0,145613;0;;0,026184;0;;-0,00301;0
-0,149417;0;;0,02497;0;;-0,000906;0
-0,143464;0;;0,022237;0;;-0,005098;0
-0,137935;0;;0,030238;0;;0,00109;0
-0,13835;0;;0,033801;0;;-0,004131;0
-0,139409;0;;0,034661;0;;0,00192;0
-0,13316;0;;0,031098;0;;0,001781;0
-0,138731;0;;0,036273;0;;0,005406;0
-0,132699;0;;0,039406;0;;-0,001843;0
-0,135905;0;;0,0383;0;;0,005068;0
-0,125942;0;;0,035505;0;;0,0002;0
-0,132482;0;;0,040619;0;;0,004883;0
-0,123623;0;;0,034661;0;;0;0
-0,128873;0;;0,043168;0;;0,005375;0
-0,118724;0;;0,0428;0;;0,001106;0
-0,119077;0;;0,047038;0;;0,001351;0
-0,116282;0;;0,042477;0;;0,004331;0
-0,117173;0;;0,050094;0;;0,001428;0
-0,111506;0;;0,047622;0;;0,007064;0
-0,114317;0;;0,050232;0;;0,010827;0
-0,109357;0;;0,050432;0;;0,008861;0
-0,111936;0;;0,052659;0;;0,009015;0
-0,106055;0;;0,049818;0;;0,013345;0
-0,104012;0;;0,053089;0;;0,01204;0
-0,101463;0;;0,050386;0;;0,014036;0
-0,102216;0;;0,054179;0;;0,00903;0
-0,099298;0;;0,053765;0;;0,01399;0
-0,091665;0;;0,055699;0;;0,008093;0
-0,088763;0;;0,055515;0;;0,014681;0
-0,082282;0;;0,051799;0;;0,013622;0
-0,080654;0;;0,060875;0;;0,016294;0
-0,073314;0;;0,061412;0;;0,016785;0
-0,069582;0;;0,060952;0;;0,020594;0
-0,06519;0;;0,060399;0;;0,020286;0
-0,064914;0;;0,067432;0;;0,017415;0
-0,057681;0;;0,07101;0;;0,022959;0
-0,055669;0;;0,070734;0;;0,026168;0
-0,050386;0;;0,066265;0;;0,025139;0
-0,048758;0;;0,075909;0;;0,023527;0
-0,043951;0;;0,071563;0;;0,030084;0
-0,038638;0;;0,078243;0;;0,028088;0
-0,04389;0;;0,07015;0;;0,032372;0
-0,034123;0;;0,075433;0;;0,028978;0
-0,030069;0;;0,06929;0;;0,035951;0
-0,028518;0;;0,072945;0;;0,0301;0
-0,031512;0;;0,072024;0;;0,038807;0
-0,022774;0;;0,071471;0;;0,034768;0
-0,018935;0;;0,063117;0;;0,043521;0
-0,014236;0;;0,065436;0;;0,039237;0
-0,012623;0;;0,06476;0;;0,048727;0
-0,007126;0;;0,065344;0;;0,045856;0
0;0;;0,055884;0;;0,050002;0
0,006895;0;;0,063578;0;;0,05441;0
0,005114;0;;0,055039;0;;0,059385;0
0,015434;0;;0,060998;0;;0,061059;0
0,01915;0;;0,056099;0;;0,065267;0
0,025185;0;;0,05917;0;;0,068676;0
0,026399;0;;0,056268;0;;0,065159;0
0,036534;0;;0,059554;0;;0,073329;0
0,041049;0;;0,055531;0;;0,078397;0
0,041755;0;;0,059677;0;;0,079211;0,01
0,053288;0;;0,054671;0;;0,078428;0,01
0,062979;0;;0,057542;0;;0,081653;0,015
0,066311;0;;0,052444;0;;0,080286;0,015
0,075233;0;;0,047007;0;;0,086797;0,015
0,079794;0;;0,052398;0;;0,084018;0,02
0,077829;0;;0,047867;0;;0,092418;0,02
0,089561;0;;0,050616;0;;0,089485;0,025
0,092418;0;;0,050202;0;;0,096948;0,025
0,097946;0;;0,051123;0;;0,095674;0,03
0,095428;0;;0,052551;0;;0,095412;0,03
0,106469;0;;0,053166;0;;0,103413;0,035
0,105333;0;;0,054962;0;;0,104304;0,035
0,1151;0;;0,055807;0;;0,110201;0,04
0,112443;0;;0,051553;0;;0,115192;0,045
0,117849;0;;0,05745;0;;0,115607;0,045
0,109372;0;;0,053995;0;;0,11619;0,05
0,117542;0;;0,060353;0;;0,122026;0,05
0,115929;0;;0,060829;0;;0,117357;0,05
0,111844;0;;0,061996;0;;0,127109;0,055
0,118002;0;;0,057281;0;;0,123301;0,055
0,1192;0;;0,064484;0;;0,130564;0,06
0,118816;0;;0,059999;0;;0,12671;0,06
0,113948;0;;0,068323;0;;0,135909;0,065
0,118909;0;;0,067448;0;;0,135433;0,065
0,122517;0;;0,072331;0;;0,140976;0,07
0,122072;0;;0,072669;0;;0,138826;0,07
0,123899;0;;0,077829;0;;0,146029;0,075
0,121949;0;;0,078197;0;;0,144923;0,09
0,121396;0;;0,081822;0;;0,147564;0,1
0,12585;0;;0,082405;0;;0,149622;0,105
0,127723;0;;0,085277;0;;0,14973;0,11
0,127478;0;;0,088978;0;;0,153078;0,115
0,133129;0;;0,090007;0;;0,155658;0,125
0,131624;0;;0,093232;0;;0,15575;0,13
0,129674;0;;0,089807;0;;0,149054;0,145
0,132392;0;;0,095182;0;;0,15747;0,155
0,1278;0;;0,10045;0;;0,154275;0,165
0,130165;0;;0,103244;0;;0,164918;0,17
0,124084;0;;0,108681;0;;0,160372;0,175
0,127984;0;;0,111737;0;;0,173548;0,18
0,126387;0;;0,109863;0;;0,178002;0,185
0,127094;0;;0,120429;0;;0,180659;0,19
0,123224;0;;0,121151;0;;0,182225;0,195
0,133528;0;;0,126817;0;;0,18436;0,2
